time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.20473064563e-07,4.14306574371e-08,10.0006488246,5.60938504197e-05,0.000689244903461,0.0,-6.43900007128e-05,3.97314433819e-06,0.0216270693819,0.0027421742546,0.0279515737988,0.0,410.89874319903834,413.36875532499505,410.3091928790296,410.55250239689036
0.12000000000000001,-2.27748471648e-05,1.87642471014e-06,10.002441573,0.000256108901406,0.00205692848201,0.0,-0.000806382088475,7.3555876813e-05,0.0381304398191,0.00449098471052,0.00970911498601,0.0,410.8958000986734,409.27576249218265,408.94538655609614,409.1010388798451
0.18,-0.000120393275903,1.3161900371e-05,10.0098596799,0.000306818363854,0.00246505268084,0.0,-0.00250411091946,0.000322025664668,0.209123077854,-0.00768195074203,0.000240655985396,0.0,458.8661085001947,458.11388156228753,459.7513315955973,458.78600679639555
0.23999999999999996,-0.000329206537572,3.80113495562e-05,10.0285222649,7.21625783857e-05,0.00231121463762,0.0,-0.00444883456532,0.000466512359754,0.412911062059,0.00272839080467,-0.00886451128718,0.0,468.764897576829,468.05699059870426,468.6753775958654,469.48373482963837
0.3,-0.000640020527238,6.79211282872e-05,10.0551454189,6.28315337866,0.00237285951909,0.0,-0.00589379892423,0.000535242014658,0.47450342178,-0.0126268195031,0.015759344142,0.0,424.01871310789863,426.12853200461336,425.04617686722196,423.72842460377103
0.36000000000000004,-0.00106708550974,9.50520228305e-05,10.0947135433,6.28236331951,0.00345067572845,0.0,-0.0084852647076,0.000259347052453,0.8442355181,-0.0142718545369,0.0220428660583,0.0,515.7070329346506,516.1504948451732,515.5679982824555,515.4519187061827
0.4200000000000001,-0.00165339003501,9.00833462575e-05,10.1485927625,6.28142699878,0.00478914159297,0.0,-0.0111950960011,-0.000517150310406,0.951654119685,-0.0184152599064,0.0228323112288,0.0,439.9144005066332,439.9797866998805,440.2020446400643,439.85918115270823
0.48000000000000015,-0.00242620428565,1.97110243858e-05,10.2080788082,6.27993619663,0.00618973975768,0.0,-0.0147021506545,-0.00195208745229,1.03114436228,-0.0425688951194,0.024346071409,0.0,430.8890274947875,431.01703495653396,432.6187036603293,430.5801767655492
0.5400000000000001,-0.00344577102588,-0.000175841193233,10.2735319849,6.27788660369,0.00784969761175,0.0,-0.019447063325,-0.00480328393973,1.15051324309,-0.0211633575985,0.033592362402,0.0,443.8552104288866,444.613499030184,443.06571132365497,444.82129947614845
0.6000000000000002,-0.00478104953766,-0.000577027583439,10.3453954643,6.27697825822,0.00979233907866,0.0,-0.025261748397,-0.00867706883665,1.24483539329,-0.00521158324135,0.0298298740458,0.0,436.34259492775686,436.02882986733897,436.03293985503063,437.36346573526197
0.6600000000000003,-0.00652371389396,-0.00123742067593,10.4248430983,6.27716568179,0.0115977549271,0.0,-0.0330241440288,-0.0133376681615,1.40323574355,0.0160338090115,0.0306059356302,0.0,457.48287700458,457.5449209453731,454.8453613806225,456.5434488328004
0.7200000000000003,-0.00876183717174,-0.0021630657439,10.5128711448,6.2782933764,0.0135247438179,0.0,-0.0417778421854,-0.0174048413014,1.53086810633,0.0238124991579,0.034977738825,0.0,447.54608046663003,447.90210751065575,447.0476233809857,447.6808937216256
0.7800000000000004,-0.011549725706,-0.00330099699714,10.607280784,6.27952305625,0.0153740907296,0.0,-0.0513488538493,-0.0203920211402,1.61600071211,0.0128599984304,0.020850364102,0.0,434.90831444072114,433.7238653522812,435.1563271349045,434.23860083500995
0.8400000000000004,-0.0149909878376,-0.00460537822851,10.7096731191,6.2806311439,0.0163088770634,0.0,-0.0634836774928,-0.0229772230696,1.79680870967,0.0278189897549,0.0021134117987,0.0,464.81922260943156,463.3485576463977,464.07111805423364,465.24366386384713
0.9000000000000005,-0.0191053191052,-0.0060260723397,10.8185169461,6.2820343924,0.0161639562578,0.0,-0.0736609866743,-0.0242355879383,1.8312642182,0.0125939097501,-0.0135066897193,0.0,419.0211541952918,417.6611724882311,420.0262790085309,418.7039744520604
0.9600000000000005,-0.0238982715214,-0.0075037200586,10.9340390593,6.28286364199,0.0153298495329,0.0,-0.0860047577769,-0.0249277975612,2.0191616299,0.0161681370775,-0.01470387829,0.0,466.64852605384084,466.5551930979484,467.59126622545045,467.86948385405157
1.0200000000000005,-0.0293716503001,-0.00900241997109,11.0581608273,0.000516558685073,0.0145075364509,0.0,-0.0963520386794,-0.0249363777299,2.11805369447,0.00916654685102,-0.0117792363139,0.0,440.27346817618775,440.51547588639994,440.97161440746004,440.39278584540796
1.0800000000000005,-0.0353950748788,-0.0104882201919,11.184430595,0.00105530686804,0.0136491087827,0.0,-0.104365126455,-0.0245449804328,2.09098941072,0.00860165396688,-0.0199141499499,0.0,399.3611469449551,398.61855128153417,399.3881368749222,399.3365019468317
1.1400000000000006,-0.0419279771665,-0.0119378973163,11.3123256119,0.0014396232456,0.0131535767224,0.0,-0.113319339803,-0.0237327062096,2.17202810836,0.00160432467907,0.00838022572569,0.0,434.3439757307671,436.71041652674853,435.03941322838955,434.4530454917388
1.2000000000000006,-0.0489875555533,-0.0133334123139,11.4445674105,0.00121660115993,0.0142724829337,0.0,-0.122082073808,-0.0227878586742,2.2359074425,-0.0173561834797,0.0337993952146,0.0,428.9728226273169,431.1258178525109,430.6440224721863,429.0373375039645
